dataset,model,probability_calibration,marginal_minority_coverage,mondrian_minority_coverage,coverage_gain,mondrian_abstention,mondrian_cost,break_even_defer_cost,failure_mode
pc1,gnb,sigmoid,0.0,0.94375,0.94375,0.7211711711711712,0.1297297297297297,0.6158650843222986,marginal_undercoverage
seismic_bumps,hgb,none,0.026470588235294117,0.9676470588235295,0.9411764705882354,0.7181818181818181,0.11102514506769827,0.5847023969835712,marginal_undercoverage
diabetes130us,gb,isotonic,0.13565140845070423,0.9211707746478872,0.785519366197183,0.7143460744816743,0.156318168418984,0.8280375245876834,marginal_undercoverage
seismic_bumps,logreg,sigmoid,0.0,0.9411764705882353,0.9411764705882353,0.7079303675048356,0.12475822050290135,0.45628415300546443,marginal_undercoverage
seismic_bumps,gb,sigmoid,0.0,0.9411764705882353,0.9411764705882353,0.7011605415860734,0.12920696324951647,0.4816551724137931,marginal_undercoverage
seismic_bumps,logreg,none,0.0,0.9264705882352942,0.9264705882352942,0.6963249516441007,0.13520309477756284,0.44305555555555554,marginal_undercoverage
pc1,hgb,isotonic,0.1125,0.91875,0.8062499999999999,0.6945945945945946,0.0918918918918919,0.4747081712062257,marginal_undercoverage
seismic_bumps,et,none,0.0,0.9558823529411764,0.9558823529411764,0.6940038684719536,0.11663442940038685,0.4955406911928651,marginal_undercoverage
diabetes130us,ada,sigmoid,0.1039612676056338,0.9031690140845072,0.7992077464788734,0.6886459663948118,0.19682617667288985,0.8397911063231716,marginal_undercoverage
diabetes130us,logreg,none,0.10611795774647888,0.9032570422535212,0.7971390845070423,0.6873882283580623,0.19662474206544167,0.8597179635625505,marginal_undercoverage
diabetes130us,ada,none,0.10466549295774649,0.9048415492957748,0.8001760563380282,0.6867544463004814,0.1931020929547018,0.8508820878224663,marginal_undercoverage
diabetes130us,logreg,sigmoid,0.1065580985915493,0.9001320422535212,0.7935739436619719,0.686145229438931,0.19961678294192786,0.8597502470320354,marginal_undercoverage
seismic_bumps,et,sigmoid,0.0,0.9470588235294117,0.9470588235294117,0.683752417794971,0.12456479690522246,0.48203677510608206,marginal_undercoverage
pc1,logreg,isotonic,0.03125,0.9625,0.93125,0.6833333333333333,0.060810810810810814,0.6400791034937376,marginal_undercoverage
seismic_bumps,gnb,sigmoid,0.0,0.9294117647058824,0.9294117647058824,0.6822050290135396,0.1404255319148936,0.5551460164445705,marginal_undercoverage
diabetes130us,rf,sigmoid,0.1013644366197183,0.9009683098591548,0.7996038732394365,0.6772477154367691,0.20037830401886608,0.8508273665730846,marginal_undercoverage
